n,recursive_dynamic,itterative,dynamic_array,matrix,binet_formula
501.0,0.00021033291704952717,2.229190431535244e-05,5.9165991842746735e-05,3.200001083314419e-05,3.6670826375484467e-06
631.0,0.00019933399744331837,2.8708018362522125e-05,7.11251050233841e-05,2.037500962615013e-05,1.4170072972774506e-06
794.0,0.00024237483739852905,3.4667085856199265e-05,9.041605517268181e-05,1.8832972273230553e-05,1.2079253792762756e-06
1000.0,0.0003188750706613064,4.445808008313179e-05,0.0001222500577569008,2.1790852770209312e-05,1.125037670135498e-06
1259.0,0.0004051669966429472,5.99580816924572e-05,0.00014787493273615837,2.2042077034711838e-05,1.0421499609947205e-06
1585.0,0.0005073749925941229,8.499994874000549e-05,0.00019145803526043892,2.2625084966421127e-05,1.00000761449337e-06
1995.0,0.000681375153362751,0.00011550006456673145,0.00025008409284055233,3.0207913368940353e-05,1.0419171303510666e-06
2512.0,0.0008201668970286846,0.0001757501158863306,0.000333624891936779,3.7082936614751816e-05,1.0409858077764511e-06
3162.0,0.0010125420521944761,0.0002104579471051693,0.00040566595271229744,4.037492908537388e-05,9.580980986356735e-07
3981.0,0.001308124978095293,0.00031091715209186077,0.0007697499822825193,5.929102189838886e-05,3.2081734389066696e-06
5012.0,0.0017002918757498264,0.0004672498907893896,0.0007815419230610132,8.245790377259254e-05,1.2919772416353226e-06
6310.0,0.0023651670198887587,0.0007875829469412565,0.0011423330288380384,0.00012099999003112316,1.250067725777626e-06
7943.0,0.003277125069871545,0.001192667055875063,0.0016366250347346067,0.00017141597345471382,1.6249250620603561e-06
10000.0,0.004557749954983592,0.001825458137318492,0.0025395830161869526,0.00024020811542868614,2.040993422269821e-06
12589.0,0.006839541019871831,0.0024320411030203104,0.0035095838829874992,0.00025758310221135616,1.9168946892023087e-06
15849.0,0.009165208088234067,0.0036186659708619118,0.0053080408833920956,0.000378540949895978,1.541106030344963e-06
